band_gap,formation_energy_per_atom,nelements,elements,formula,material_id
0.0,-3.134037300666667,4,"Li,O,Si,Ti",LiTi(SiO3)2,mp-11206
0.0,-2.320195995,4,"O,Si,W,Zn",ZnSi2WO6,mp-1163919
0.0,-3.036866436333334,4,"K,Np,O,Si",K3Np3Si2O13,mp-1224146
0.0,-1.641505291770835,4,"Li,O,Si,Tl",LiTl6Si2O7,mp-1235354
0.0,-2.883534802368421,4,"Al,Ca,O,Si",Ca3Al2(SiO6)2,mp-1228003
0.0,-2.9667807573333342,4,"Li,O,Si,V",LiV(SiO3)2,mp-19043
0.0,-2.667525705000001,4,"Al,Ca,O,Si",CaAl2(SiO5)2,mp-1194156
0.0,-2.882494295,3,"Gd,O,Si",GdSiO3,mp-1184484
0.0,-2.046275904500001,3,"Ga,O,Si",GaSiO3,mp-1184206
0.0,-3.64523786968254,3,"O,Si,Tb",Tb5Si3O13,mp-1208437
0.0,-3.593851992738096,3,"Nd,O,Si",Nd5Si3O13,mp-1210042
0.0,-1.833961546647727,6,"Al,C,H,N,O,Si",Al2Si2H5C2NO10,mp-723020
0.0,-2.048031977660454,6,"O,P,Pb,Si,Te,Zn",Zn9Si2Te3P4(Pb3O14)3,mp-1216341
0.0,-3.055706251611346,6,"Ba,Mn,O,P,Si,Ti",Ba2TiMn2Si2PO13,mp-1214713
0.0,-2.18082795280811,6,"Ca,Ge,Na,O,S,Si",Na2CaSi2Ge3(SO6)4,mp-2712678
0.0,-2.081957754649121,5,"Ag,Mg,O,Si,Ti",MgTi2Si2(Ag2O5)2,mp-2230649
0.0,-3.339056526933333,5,"Be,Er,Li,O,Si",LiEr4Be4(SiO7)2,mp-1236794
0.0,-2.689790846693889,5,"Mg,Na,O,Si,Ti",Na4MgTi2(SiO5)2,mp-2230924
0.0,-3.321231713733333,5,"Be,Er,Li,O,Si",LiEr4Be4(SiO7)2,mp-1236195
0.0,-2.8087977035,3,"O,Si,V",VSiO3,mp-754608
0.0,-1.859571262,5,"Fe,Mg,O,Si,Sn",MgFe4Si2Sn7O16,mp-1233773
0.0,-3.60291097159091,5,"Al,F,O,Si,Y",Y4AlSi2(O2F)5,mp-1178743
0.0,-1.970165534673913,5,"C,Ca,O,Si,Y",Ca2Y2Si2CO16,mp-1182411
0.0,-2.6905703198517843,5,"Mg,Na,O,Si,Ti",Na4MgTi2(SiO5)2,mp-2230825
0.0,-3.272983015000003,3,"Eu,O,Si",Eu2SiO5,mp-867966
0.0,-1.118593531562501,5,"Al,N,O,Si,Sr",SrAl4Si2N8O,mp-1208675
0.0,-1.777232791632652,5,"O,Sb,Si,W,Y",Y4Si2Sb2W13O28,mp-1248937
0.0,-2.490563781960784,5,"Li,O,Si,V,Zn",LiV2Zn2(SiO5)2,mp-1236082
0.0,-3.361755268214285,5,"Ba,Ca,Mg,O,Si",BaCa2Mg(SiO4)2,mp-1214419
0.0,-2.995894359462356,5,"K,O,P,Si,Ti",KTi3Si2P6O25,mp-541317
0.0,-3.666284126666667,3,"La,O,Si",La5Si3O13,mp-1211451
0.0,-2.996493935714286,3,"Ca,O,Si",Ca5Si3O13,mp-1214077
0.0,-3.617742581666668,3,"O,Si,Sm",Sm5Si3O13,mp-16981
0.0,-2.7833671795862083,3,"Mn,O,Si",MnSiO3,mp-1289249
0.0,2.671253121666667,4,"Fe,Li,O,Si",Li2FeSi3O8,mp-861290
0.0,-2.526554791944443,4,"Co,Li,O,Si",Li3Co2Si3O10,mp-1177711
0.0,-3.212814813749999,3,"Nd,O,Si",NdSiO4,mp-1101436
0.0,-1.809094628124999,3,"O,Si,Zr",ZrSiO2,mp-1207403
0.0,-3.4544520449999983,3,"O,Si,U",USiO4,mp-4169
0.0,-2.1869489196875,3,"Ca,O,Si",Ca2Si3O11,mp-1182622
0.0,-3.073645007499999,3,"Al,O,Si",AlSi3O8,mp-1229057
0.0,-3.197090425277776,3,"O,Pr,Si",PrSiO4,mp-756013
0.0,-3.44835634075,3,"O,Si,Y",Y5(SiO4)3,mp-1208172
0.0,-2.4037383425,3,"Ca,O,Si",Ca2Si3O11,mp-1204013
0.0,-2.998718503658302,5,"O,P,Rb,Si,Ti",RbTi3Si2P6O25,mp-1209312
0.0,-1.718598838214287,3,"Fe,O,Si",Fe4SiO9,mp-1225354
0.0,-2.843676862643229,4,"B,Mg,O,Si",Mg30SiBO32,mp-1039820
0.0,-1.6602930277777772,3,"Cu,O,Si",CuSiO4,mp-1204686
0.0,-2.530621519357758,3,"Mn,O,Si",Mn5(SiO4)3,mp-5802
0.0,-2.824806752762931,3,"Na,O,Si",Na(SiO2)3,mp-1210861
0.0,-2.272638924666667,3,"Cu,O,Si",CuSiO3,mp-556982
0.0,-1.656944533333333,3,"O,Si,Ti",Ti4(SiO8)3,mp-1178991
0.0,-0.49079839964285704,3,"La,O,Si",La2(SiO3)3,mp-852194
0.0,1.832242977499999,3,"Al,O,Si",AlSi3O8,mp-1344662
0.0,-3.051959494166666,3,"Al,O,Si",AlSi3O8,mp-1228295
0.0,-3.061397660416666,3,"Al,O,Si",AlSi3O8,mp-1228255
0.0,-1.724696841036586,3,"Bi,O,Si",Si(Bi3O5)5,mp-686175
0.0,-2.062533560333333,3,"In,O,Si",InSiO3,mp-1184751
0.0,-3.002185566824657,5,"Cs,O,P,Si,Ti",CsTi3Si2P6O25,mp-541318
0.0,-2.8971948743537412,5,"O,Sb,Si,Ti,Y",Y4Ti13Si2(SbO14)2,mp-1353589
0.0,-1.315185940175437,4,"Ag,Ca,O,Si",CaSi2(AgO)8,mp-1234365
0.0,-1.294905865087717,4,"Ag,Li,O,Si",LiSi2(AgO)8,mp-1235565
0.0,-1.287813874649122,4,"Ag,Mg,O,Si",MgSi2(AgO)8,mp-1233615
0.0,-2.368237475333333,4,"Co,Li,O,Si",Li3Co2(SiO4)2,mp-757066
0.0,-1.928513023846743,4,"Mn,O,Sb,Si",Mn13Si2(SbO14)2,mp-1931800
0.0,-2.592644660057471,4,"Li,Mn,O,Si",Li3Mn2(SiO4)2,mp-774171
0.0,-2.589079783724137,4,"Li,Mn,O,Si",Li3Mn2(SiO4)2,mp-774356
0.0,-2.646264993028736,4,"Al,Mn,O,Si",MnAl2(SiO5)2,mp-1204710
0.0,-2.698746680588235,4,"Li,O,Si,V",Li3V2(SiO5)2,mp-25243
0.0,-2.306004526057471,4,"Mn,O,Si,Sr",SrMn2(SiO5)2,mp-1208671
0.0,-2.708402973333334,4,"Al,Ca,O,Si",CaAl2(SiO5)2,mp-1194309
0.0,-2.4293854466666662,4,"Al,Ca,O,Si",CaAl2(SiO5)2,mp-1192758
0.0,-1.720048743500001,3,"Hg,O,Si",SiHgO3,mp-1016874
0.0,-2.114321977000001,3,"O,Si,Zn",ZnSiO3,mp-1016876
0.0,-2.9802000421052632,4,"Al,Fe,O,Si",Al4Fe(SiO6)2,mp-1197460
0.0,-2.519344026666667,4,"Ba,Cu,O,Si",BaCu2Si2O7,mp-22407
0.0,-2.165191518732142,4,"Cd,O,P,Si",Cd5Si2PO12,mp-1213943
0.0,-2.219989547,3,"O,Si,Zr",ZrSiO3,mp-1183043
0.0,-2.154149702999999,3,"Al,O,Si",AlSiO3,mp-1183132
0.0,-2.8682463835,3,"Ac,O,Si",AcSiO3,mp-1183150
0.0,-2.431208374000001,4,"Al,O,Pb,Si",Al2Si2PbO10,mp-1200775
0.0,-1.960501265294118,4,"Al,H,O,Si",Al2Si2H4O9,mp-720262
0.0,-3.139793496314039,5,"Na,O,P,Si,Zr",Na3Zr2Si2PO12,mp-1133317
0.0,-2.468743277254902,5,"Li,O,Si,V,Zn",LiV2Zn2(SiO5)2,mp-1236536
0.0,-3.015011600068026,5,"O,Sb,Si,Ti,Y",Y4Ti13Si2(SbO14)2,mp-1257812
0.0,-2.322728055143677,3,"Mn,O,Si",Mn4SiO7,mp-18442
0.0,-1.985984405909091,3,"Bi,O,Si",SiBi3O7,mp-753860
0.0,-1.6586057026530612,5,"Fe,O,Sb,Si,Y",Y4Fe13Si2(SbO14)2,mp-1348593
0.0,-1.8566530306666662,5,"Fe,Mg,O,Si,Sn",MgFe4Si2Sn7O16,mp-1233123
0.0,-2.5429408846428583,5,"Al,Ca,Cu,O,Si",CaAlCuSi2O9,mp-1192520
0.0,-2.413369624285713,5,"Cr,O,Sb,Si,Y",Y4Cr13Si2(SbO14)2,mp-1044807
0.0,-2.795471452312924,5,"Al,O,Sb,Si,Ti",Ti13Al4Si2(SbO14)2,mp-1044158
0.0,-1.813810219387753,5,"Cu,O,Sb,Si,Y",Y4Cu13Si2(SbO14)2,mp-1044636
0.0,-1.7743379716326522,5,"Al,Cu,O,Sb,Si",Al4Cu13Si2(SbO14)2,mp-1044336
0.0,-2.6775667303781,5,"Mg,Na,O,Si,Ti",Na4MgTi2(SiO5)2,mp-2230303
0.0,-2.746442369999999,5,"Al,Ca,Cl,O,Si",CaAl2Si2(ClO4)2,mp-1227373
0.0,-2.151309112543859,5,"Ag,Mg,O,Si,Ti",MgTi2Si2(Ag2O5)2,mp-2230127
0.0,-2.905999989949713,5,"Ba,Mn,O,Si,Ti",BaTiMn2(SiO5)2,mp-1200625
0.0,0.57076553181096,5,"Na,O,P,Si,Zr",Na3Zr2Si2PO12,mp-742054
0.0,-0.060035950064038,5,"Na,O,P,Si,Zr",Na3Zr2Si2PO12,mp-732188
0.0,1.949744977685961,5,"Na,O,P,Si,Zr",Na3Zr2Si2PO12,mp-725003
0.0,-3.135500566689039,5,"Na,O,P,Si,Zr",Na3Zr2Si2PO12,mp-695112
0.0,-2.259384182666666,5,"Cu,Mg,O,Rb,Si",Rb4MgCuSi2O7,mp-2232098
0.0,-2.53897719625,3,"Ba,O,Si",BaSiO4,mp-1191804
0.0,-1.113623184796238,3,"Na,O,Si",Na2SiO8,mp-1192918
0.0,-2.342372442222222,3,"Ca,O,Si",Ca2SiO6,mp-1205089
0.0,-2.7682792359803923,5,"Mg,O,Si,Ti,Zn",MgTi2Zn2(SiO5)2,mp-2228927
0.0,-2.770898376458333,5,"Ba,Fe,O,Si,Ti",BaTiFe2(SiO5)2,mp-1202235
0.0,-2.319071108333333,4,"Al,Ca,O,Si",CaAl2(SiO5)2,mp-1182031
0.0,-2.166804807727272,4,"Cu,Mg,O,Si",MgCu2(SiO3)2,mp-2217378
0.0,-2.336428514102564,4,"Fe,Li,O,Si",LiFe2(SiO4)2,mp-758113
0.0,-1.5477487692499992,4,"Cu,O,Sb,Si",Cu5Si(SbO6)2,mp-641710
0.0,-2.821791022812499,4,"Al,Mg,O,Si",Mg14AlSiO16,mp-1036604
0.0,-2.108643194353448,4,"Cs,Mg,O,Si",CsMg6SiO8,mp-1031233
0.0,-2.8019777578125,4,"Mg,O,Si,Y",YMg14SiO16,mp-1035955
0.0,-2.7907211571875,4,"Cu,Mg,O,Si",Mg14CuSiO16,mp-1035249
0.0,-1.841806885,4,"Ca,H,O,Si",CaSi(HO2)2,mp-1182799
0.0,-1.8685587681250002,4,"Ca,H,O,Si",CaSi(HO2)2,mp-1182800
0.0,-2.278512335833333,4,"Cu,Li,O,Si",Li2CuSiO4,mp-760485
0.0,1.105029934267241,4,"Al,Na,O,Si",NaAlSiO4,mp-697618
0.0,-2.548030591785715,4,"Al,Mg,O,Si",Mg2Al2SiO9,mp-1222223
0.0,-2.831167206333334,4,"Li,O,Si,Ti",Li3TiSiO5,mp-766449
0.0,-2.329954492083334,4,"Cu,Li,O,Si",Li2CuSiO4,mp-758708
0.0,-2.322185774583333,4,"Cu,Li,O,Si",Li2CuSiO4,mp-758743
0.0,-2.328476033020833,4,"Cu,Li,O,Si",Li2CuSiO4,mp-758435
0.0,-3.287718564601777,4,"Na,Nd,O,Si",NaNdSiO4,mp-13774
0.0,-2.334865066458333,4,"Cu,Li,O,Si",Li2CuSiO4,mp-752858
0.0,-2.503275423124999,4,"Cu,Mg,O,Si",Mg6CuSiO8,mp-1032273
0.0,-2.038943503541666,4,"Fe,Li,O,Si",LiFe2SiO4,mp-1211190
0.0,-2.835659041834292,4,"Na,O,Sc,Si",Na2ScSiO5,mp-1194817
0.0,-2.27860414574074,4,"Fe,Li,O,Si",Li2FeSiO5,mp-758787
0.0,-1.74896284225,4,"Cu,Ge,O,Si",Cu4Si(GeO4)3,mp-1225830
0.0,-3.260868998020833,4,"Gd,O,Si,Te",Gd2SiTeO4,mp-16788
0.0,-3.206987204583332,4,"Ce,O,Si,Te",Ce2SiTeO4,mp-542663
0.0,-3.308823604355468,4,"Ce,O,Se,Si",Ce2SiSeO4,mp-542664
0.0,-2.3017361685185183,4,"Fe,Li,O,Si",Li2FeSiO5,mp-1304341
0.0,-2.114527399741377,5,"C,Na,Ni,O,Si",Na3SiNiCO7,mp-771030
0.0,-2.2347798179382172,5,"C,Na,O,Sb,Si",Na2SiSbCO7,mp-770978
0.0,-2.415099216408045,5,"B,Na,O,Sb,Si",Na3SiBSbO7,mp-770708
0.0,0.4397385085,5,"Ca,Ga,H,O,Si",Ca2Ga2Si(HO4)2,mp-1344586
0.0,-2.7387109890000003,5,"Al,N,O,Si,Y",Y2AlSiNO5,mp-1100918
0.0,-1.816225774494047,4,"Fe,Li,O,Si",LiFeSiO4,mp-758892
0.0,-2.4112970875,4,"Fe,Mg,O,Si",MgFeSiO5,mp-1251416
0.0,-3.2877214291256163,4,"Gd,Na,O,Si",NaGdSiO4,mp-18515
0.0,-2.572963726609196,4,"Li,Mn,O,Si",LiMnSiO4,mp-755125
0.0,-3.047561937380952,4,"Li,O,Si,Ti",LiTiSiO4,mp-753305
0.0,-2.3778142882974143,4,"Al,Na,O,Si",NaAlSiO5,mp-1210055
0.0,-2.301269561296296,4,"Fe,Li,O,Si",Li2FeSiO5,mp-1303469
0.0,-2.420527922916666,4,"Al,Fe,O,Si",Al2FeSiO5,mp-1215154
0.0,-2.610255534375,4,"Bi,Mg,O,Si",Mg14SiBiO16,mp-1257377
0.0,-2.731731129482759,4,"Na,O,Si,V",NaVSiO4,mp-754456
0.0,-3.055189736666666,4,"Li,O,Si,Ti",LiTiSiO4,mp-753349
0.0,-2.343638917708333,4,"Cu,Li,O,Si",Li2CuSiO4,mp-758311
0.0,-2.333040286458334,4,"Cu,Li,O,Si",Li2CuSiO4,mp-758758
0.0,-3.039313074880952,4,"Li,O,Si,Ti",LiTiSiO4,mp-753580
0.0,-2.835924037528736,4,"La,Na,O,Si",Na2LaSiO5,mp-724857
0.0,-3.277447985555556,4,"Ca,F,O,Si",Ca3SiO4F,mp-1214083
0.0,-3.057087607023809,4,"Li,O,Si,Ti",LiTiSiO4,mp-1176604
0.0,-2.325726348958333,4,"Cu,Li,O,Si",Li2CuSiO4,mp-758498
0.0,-2.06925865127984,5,"C,Cu,Na,O,Si",Na3CuSiCO7,mp-771162
0.0,-2.314023163958333,4,"Cu,Li,O,Si",Li2CuSiO4,mp-752888
0.0,-1.636765032678572,4,"N,O,P,Si",SiP4N2O13,mp-733484
0.0,-2.320893483020834,4,"Cu,Li,O,Si",Li2CuSiO4,mp-758325
0.0,-1.227042081785715,4,"F,Mg,O,Si",MgSi(OF)6,mp-1193358
0.0,-2.9058845796874992,4,"Cu,Mg,O,Si",Mg30CuSiO32,mp-1037409
0.0,-2.304294094074074,4,"Fe,Li,O,Si",Li2FeSiO5,mp-753936
0.0,-2.310007001296296,4,"Fe,Li,O,Si",Li2FeSiO5,mp-1304562
0.0,-2.921265972343749,4,"Mg,O,Si,Y",YMg30SiO32,mp-1037665
0.0,-1.7227022600000002,4,"Co,La,O,Si",La2CoSiO2,mp-1147750
0.0,-2.9048158364062493,4,"Fe,Mg,O,Si",Mg30FeSiO32,mp-1037676
0.0,-2.577730051551723,4,"Cs,Mg,O,Si",CsMg14SiO16,mp-1099219
0.0,-2.659592565286458,4,"B,Mg,O,Si",Mg14SiBO16,mp-1099217
0.0,-2.831998453119611,4,"Cs,Mg,O,Si",CsMg30SiO32,mp-1098474
0.0,-2.917970751675781,4,"K,Mg,O,Si",KMg30SiO32,mp-1040245
0.0,-2.906179448707031,4,"K,Mg,O,Si",KMg30SiO32,mp-1040270
0.0,-2.9623580223958332,4,"Li,Mg,O,Si",LiMg30SiO32,mp-1040138
0.0,-2.9683186533333332,4,"Li,Mg,O,Si",LiMg30SiO32,mp-1040157
0.0,-2.89038415765625,4,"Hf,Mg,O,Si",HfMg30SiO32,mp-1039784
0.0,-2.945649740959051,4,"Mg,Na,O,Si",NaMg30SiO32,mp-1039959
0.0,-2.875873311367187,4,"Mg,O,Rb,Si",RbMg30SiO32,mp-1039943
0.0,-2.952888636584051,4,"Mg,Na,O,Si",NaMg30SiO32,mp-1039915
0.0,-2.852293134057111,4,"Cs,Mg,O,Si",CsMg30SiO32,mp-1039950
0.0,-2.890997460117187,4,"Mg,O,Rb,Si",RbMg30SiO32,mp-1039945
0.0,-2.9069128809375,4,"Co,Mg,O,Si",Mg30CoSiO32,mp-1037137
0.0,-2.9147534465625,4,"Co,Mg,O,Si",Mg30CoSiO32,mp-1037157
0.0,-2.912233266406249,4,"Mg,Ni,O,Si",Mg30SiNiO32,mp-1036904
0.0,-1.285916387656248,4,"Ag,O,S,Si",SiAg6SO8,mp-555015
0.0,-1.112994224259259,4,"Li,Lu,O,Si",Li2LuSiO5,mp-724946
0.0,-2.092396290625001,4,"Fe,O,Si,Zn",ZnFeSiO5,mp-1255391
0.0,-1.706134711153847,4,"F,Hg,O,Si",SiHg2(O2F3)2,mp-1179495
0.0,-1.9503225475000001,4,"Co,O,Si,Zn",ZnCoSiO5,mp-1046656
0.0,-2.140825104374999,4,"Mg,Ni,O,Si",MgSiNiO5,mp-1046737
0.0,-0.198938559642857,4,"F,N,O,Si",SiN4(OF2)3,mp-1194454
0.0,-2.644096589666668,4,"Ce,N,O,Si",CeSiNO2,mp-651175
0.0,-1.9002269406666672,4,"La,N,O,Si",LaSiNO2,mp-18559
0.0,-3.058360909523809,4,"Li,O,Si,Ti",LiTiSiO4,mp-753511
0.0,-2.872024411290322,4,"Ba,Nb,O,Si",BaNb10SiO19,mp-555764
0.0,-2.813628633768472,4,"Ca,Na,O,Si",NaCaSiO4,mp-1104706
0.0,-2.879677572916666,4,"Li,O,Si,Sr",Sr2LiSiO4,mp-1209083
0.0,-3.265815298749999,4,"Ca,O,Si,Y",CaYSiO5,mp-1213910
0.0,-2.7702758634375,4,"Cu,Mg,O,Si",Mg14CuSiO16,mp-1035222
0.0,-2.072497073374998,4,"F,O,Pb,Si",SiPb(OF3)2,mp-1179522
0.0,-2.408532863125,4,"Fe,Mg,O,Si",MgFeSiO5,mp-1046688
0.0,-2.8079830140625,4,"Mg,O,Si,Y",YMg14SiO16,mp-1035937
0.0,-2.269505809375,4,"Co,Mg,O,Si",MgCoSiO5,mp-1046674
0.0,-2.6252370825,4,"Ca,Fe,O,Si",CaFeSiO5,mp-1046733
0.0,-2.791946799374999,4,"Al,Mg,O,Si",Mg14AlSiO16,mp-1036569
0.0,-1.159210366518884,4,"F,Mn,O,Si",MnSi(OF)6,mp-1211039
0.0,-0.541704369555554,4,"Ag,O,S,Si",SiAg8(SO2)2,mp-559745
0.0,-2.515171201836734,4,"Co,O,P,Si",Co2Si(P2O7)2,mp-17775
0.0,-2.413697305705128,5,"B,Bi,Li,O,Si",Li3SiBiBO7,mp-771028
0.0,-2.424018424551282,5,"B,Fe,Li,O,Si",Li3FeSiBO7,mp-771289
0.0,-3.093015568076922,4,"Al,Ca,O,Si",Ca2Al2SiO8,mp-1227478
0.0,-2.851647299090909,3,"O,Si,V",V2Si2O7,mp-756212
